time_bucket,p95_latency_ms,p99_latency_ms,call_count,HTTP_MCR,HTTP_RT,providerRPC_MCR,providerRPC_RT,cpu_utilization,memory_utilization,active_instances,p95_latency_ms_delta1,p99_latency_ms_delta1,HTTP_MCR_delta1,HTTP_RT_delta1,providerRPC_MCR_delta1,providerRPC_RT_delta1,cpu_utilization_delta1,memory_utilization_delta1,p95_latency_ms_delta2,p99_latency_ms_delta2,HTTP_MCR_delta2,HTTP_RT_delta2,providerRPC_MCR_delta2,providerRPC_RT_delta2,cpu_utilization_delta2,memory_utilization_delta2,p95_latency_ms_delta4,p99_latency_ms_delta4,HTTP_MCR_delta4,HTTP_RT_delta4,providerRPC_MCR_delta4,providerRPC_RT_delta4,cpu_utilization_delta4,memory_utilization_delta4,violation_now,label_next_violation
0,457.0,528.0,35662.0,137.84003213215712,137.84003213215712,19.262173202614377,183.8287979166324,0.31888570685549955,0.734088772652196,306.0,,,,,,,,,,,,,,,,,,,,,,,,,0,0
1,466.0,532.0,38122.0,139.2526151767474,139.2526151767474,19.350953159041392,183.63320133070383,0.3202900165906735,0.7341429037985459,306.0,9.0,4.0,1.412583044590292,1.412583044590292,0.08877995642701464,-0.19559658592856977,0.0014043097351739697,5.413114634988947e-05,,,,,,,,,,,,,,,,,0,0
2,470.0,535.0,38357.0,139.1098953903105,139.1098953903105,19.388916122004357,183.30855246318598,0.32024893702696783,0.7340066440744337,306.0,4.0,3.0,-0.1427197864369134,-0.1427197864369134,0.03796296296296475,-0.32464886751785116,-4.1079563705692657e-05,-0.00013625972411213105,13.0,7.0,1.2698632581533786,1.2698632581533786,0.1267429193899794,-0.5202454534464209,0.001363230171468277,-8.212857776224158e-05,,,,,,,,,0,0
3,463.0,524.0,37937.0,138.97653746600955,138.97653746600955,19.505174291938996,183.22601735485839,0.3209723190401773,0.7340282965329737,306.0,-7.0,-11.0,-0.1333579243009524,-0.1333579243009524,0.116258169934639,-0.08253510832759048,0.0007233820132094837,2.16524585400224e-05,-3.0,-8.0,-0.2760777107378658,-0.2760777107378658,0.15422113289760375,-0.40718397584544164,0.000682302449503791,-0.00011460726557210865,,,,,,,,,0,0
4,461.0,526.0,38470.0,138.8440652765148,138.8440652765148,19.570098039215686,182.74353872542824,0.3187407534435683,0.7340726747232325,306.0,-2.0,2.0,-0.1324721894947345,-0.1324721894947345,0.06492374727669059,-0.4824786294301475,-0.002231565596609031,4.437819025870926e-05,-9.0,-9.0,-0.2658301137956869,-0.2658301137956869,0.1811819172113296,-0.565013737757738,-0.0015081835833995472,6.603064879873166e-05,4.0,-2.0,1.0040331443576918,1.0040331443576918,0.307924836601309,-1.085259191204159,-0.0001449534119312701,-1.6097928963509922e-05,0,0
5,456.0,530.0,38084.0,139.45857974327612,139.45857974327612,19.865277777777777,183.28523850253458,0.3210594447683145,0.734040795198453,306.0,-5.0,4.0,0.6145144667613067,0.6145144667613067,0.2951797385620907,0.541699777106345,0.0023186913247462138,-3.187952477945455e-05,-7.0,6.0,0.4820422772665722,0.4820422772665722,0.36010348583878127,0.05922114767619746,8.712572813718289e-05,1.2498665479254711e-05,-10.0,-2.0,0.20596456652870643,0.20596456652870643,0.514324618736385,-0.3479628281692442,0.0007694281776409739,-0.00010210860009285394,0,0
6,452.0,520.0,37890.0,140.1578082121745,140.1578082121745,19.94311002178649,183.12914223110104,0.32491928146010424,0.7340625847866332,306.0,-4.0,-10.0,0.699228468898383,0.699228468898383,0.07783224400871447,-0.15609627143354032,0.003859836691789742,2.178958818022103e-05,-9.0,-6.0,1.3137429356596897,1.3137429356596897,0.37301198257080515,0.38560350567280466,0.006178528016535956,-1.0089936599233518e-05,-18.0,-15.0,1.0479128218640028,1.0479128218640028,0.5541938997821347,-0.17941023208493334,0.004670344433136409,5.5940712199498144e-05,0,0
7,452.04999999999563,518.0,37140.0,140.09976459776166,140.09976459776166,19.964950980392157,182.68790841191637,0.32348202906637663,0.7340887348636304,306.0,0.049999999995634425,-2.0,-0.05804361441283845,-0.05804361441283845,0.02184095860566515,-0.4412338191846743,-0.001437252393727606,2.6150076997133453e-05,-3.9500000000043656,-12.0,0.6411848544855445,0.6411848544855445,0.09967320261437962,-0.5973300906182146,0.002422584298062136,4.7939665177354485e-05,-10.950000000004366,-6.0,1.1232271317521167,1.1232271317521167,0.4597766884531609,-0.5381089429420172,0.002509710026199319,6.0438330656609196e-05,0,0
8,450.0,517.0,37164.0,139.80086393424628,139.80086393424628,19.969880174291937,183.52055760785393,0.32585466008247377,0.7339644393110587,306.0,-2.0499999999956344,-1.0,-0.2989006635153828,-0.2989006635153828,0.004929193899780415,0.832649195937563,0.0023726310160971376,-0.0001242955525716516,-2.0,-3.0,-0.35694427792822125,-0.35694427792822125,0.026770152505445566,0.39141537675288873,0.0009353786223695315,-9.814547557451814e-05,-11.0,-9.0,0.9567986577314684,0.9567986577314684,0.3997821350762507,0.7770188824256934,0.007113906638905487,-0.00010823541217375166,0,0
9,450.0,514.0,36765.0,140.09201899343037,140.09201899343037,20.028295206971677,183.0747188767942,0.32709546607783485,0.7340219180568371,306.0,0.0,-3.0,0.2911550591840921,0.2911550591840921,0.05841503267973991,-0.44583873105972316,0.0012408059953610828,5.74787457784387e-05,-2.0499999999956344,-4.0,-0.007745604331290679,-0.007745604331290679,0.06334422657952032,0.3868104648778399,0.0036134370114582204,-6.681680679321289e-05,-6.0,-16.0,0.6334392501542538,0.6334392501542538,0.16301742919389994,-0.21051962574037475,0.006036021309520356,-1.8877141615858406e-05,0,0
