time_bucket,p95_latency_ms,p99_latency_ms,call_count,HTTP_MCR,HTTP_RT,providerRPC_MCR,providerRPC_RT,cpu_utilization,memory_utilization,active_instances,p95_latency_ms_delta1,p99_latency_ms_delta1,HTTP_MCR_delta1,HTTP_RT_delta1,providerRPC_MCR_delta1,providerRPC_RT_delta1,cpu_utilization_delta1,memory_utilization_delta1,p95_latency_ms_delta2,p99_latency_ms_delta2,HTTP_MCR_delta2,HTTP_RT_delta2,providerRPC_MCR_delta2,providerRPC_RT_delta2,cpu_utilization_delta2,memory_utilization_delta2,p95_latency_ms_delta4,p99_latency_ms_delta4,HTTP_MCR_delta4,HTTP_RT_delta4,providerRPC_MCR_delta4,providerRPC_RT_delta4,cpu_utilization_delta4,memory_utilization_delta4,violation_now,label_next_violation
0,65.0,191.8199999999997,8160,0.6862955276928763,0.6862955276928763,39.10538787397405,14.373966094811175,0.23574303399034494,0.7963072982830505,1259.0,,,,,,,,,,,,,,,,,,,,,,,,,0,0
1,68.0,203.0,8043,0.8517802638965422,0.8517802638965422,38.08502118083135,13.760832939246079,0.23581402961467932,0.7960658211666407,1259.0,3.0,11.180000000000291,0.16548473620366588,0.16548473620366588,-1.0203666931427051,-0.6131331555650963,7.099562433438011e-05,-0.00024147711640976066,,,,,,,,,,,,,,,,,0,1
2,76.0,260.28000000000065,8087,0.6419488891139536,0.6419488891139536,37.780043685464655,13.869026012847353,0.23075699030922062,0.7963090823509089,1259.0,8.0,57.280000000000655,-0.2098313747825885,-0.2098313747825885,-0.3049774953666926,0.10819307360127439,-0.005057039305458699,0.00024326118426820642,11.0,68.46000000000095,-0.044346638578922626,-0.044346638578922626,-1.3253441885093977,-0.5049400819638219,-0.004986043681124319,1.7840678584457592e-06,,,,,,,,,1,0
3,79.0,193.1800000000003,8483,0.7879018098609434,0.7879018098609434,37.76583267143236,13.993046328573126,0.23175225222005463,0.7961751241547612,1259.0,3.0,-67.10000000000036,0.14595292074698973,0.14595292074698973,-0.014211014032298408,0.12402031572577243,0.0009952619108340166,-0.00013395819614769877,11.0,-9.819999999999709,-0.06387845403559878,-0.06387845403559878,-0.319188509398991,0.23221338932704683,-0.004061777394624683,0.00010930298812050765,,,,,,,,,0,0
4,72.0,179.14999999999782,8796,0.5660627917914938,0.5660627917914938,37.711391315859146,14.079389857450852,0.23042027819365873,0.7961824637163812,1259.0,-7.0,-14.030000000002474,-0.2218390180694496,-0.2218390180694496,-0.054441355573210615,0.08634352887772678,-0.001331974026395899,7.3395616200233604e-06,-4.0,-81.13000000000284,-0.07588609732245988,-0.07588609732245988,-0.06865236960550902,0.21036384460349922,-0.0003367121155618824,-0.0001266186345276754,7.0,-12.670000000001892,-0.1202327359013825,-0.1202327359013825,-1.3939965581149067,-0.2945762373603227,-0.005322755796686202,-0.00012483456666922965,0,0
5,82.0,205.8799999999992,8613,0.8557766265495063,0.8557766265495063,38.40798252581414,13.94945788360319,0.23313060715106698,0.796487717708015,1259.0,10.0,26.730000000001382,0.2897138347580125,0.2897138347580125,0.6965912099549953,-0.12993197384766297,0.002710328957408248,0.0003052539916337249,3.0,12.699999999998909,0.06787481668856288,0.06787481668856288,0.6421498543817847,-0.04358844496993619,0.0013783549310123488,0.00031259355325374827,14.0,2.8799999999991996,0.003996362652964103,0.003996362652964103,0.3229613449827937,0.18862494435711064,-0.002683422463612334,0.0004218965413742559,0,0
6,85.19999999999891,221.95999999999913,8677,0.8462954769366114,0.8462954769366114,38.11247021445592,13.91392750663508,0.232764095447103,0.7962050468226668,1259.0,3.1999999999989086,16.079999999999927,-0.009481149612894813,-0.009481149612894813,-0.2955123113582232,-0.03553037696810968,-0.00036651170396398425,-0.00028267088534816853,13.199999999998909,42.81000000000131,0.2802326851451177,0.2802326851451177,0.40107889859677215,-0.16546235081577265,0.0023438172534442636,2.2583106285556376e-05,9.199999999998909,-38.32000000000153,0.2043465878226578,0.2043465878226578,0.3324265289912631,0.044901493787726565,0.002007105137882381,-0.00010403552824211904,0,0
7,71.0,198.5,8826,0.6820634927372454,0.6820634927372454,37.98124834524755,13.68737463178674,0.2310197376080278,0.7962348383508854,1259.0,-14.199999999998909,-23.459999999999127,-0.16423198419936602,-0.16423198419936602,-0.13122186920836754,-0.22655287484833941,-0.0017443578390752001,2.979152821858122e-05,-11.0,-7.3799999999992,-0.17371313381226083,-0.17371313381226083,-0.42673418056659074,-0.2620832518164491,-0.0021108695430391844,-0.0002528793571295873,-8.0,5.319999999999709,-0.10583831712369796,-0.10583831712369796,0.215415673815194,-0.3056716967863853,-0.0007325146120268355,5.9714196124160956e-05,0,0
8,73.0,212.0,8941,0.7227124381026345,0.7227124381026345,37.65262112787927,13.851481869788353,0.23342349010443575,0.7964552480896093,1259.0,2.0,13.5,0.0406489453653891,0.0406489453653891,-0.32862721736827893,0.16410723800161264,0.0024037524964079515,0.00022040973872394787,-12.199999999998909,-9.959999999999127,-0.12358303883397692,-0.12358303883397692,-0.45984908657664647,-0.06244563684672677,0.0006593946573327514,0.0002502012669425291,1.0,32.85000000000218,0.15664964631114076,0.15664964631114076,-0.05877018797987432,-0.22790798766249942,0.003003211910777015,0.00027278437322808546,0,0
9,79.0,202.1900000000005,8782,0.6044776394970917,0.6044776394970917,37.54180566587238,13.800808802816043,0.23101766899868523,0.7962553239796634,1259.0,6.0,-9.80999999999949,-0.11823479860554287,-0.11823479860554287,-0.11081546200689019,-0.05067306697231011,-0.002405821105750522,-0.00019992410994595922,8.0,3.6900000000005093,-0.07758585324015377,-0.07758585324015377,-0.4394426793751691,0.11343417102930253,-2.06860934257036e-06,2.048562877798865e-05,-3.0,-3.6899999999986903,-0.2512989870524146,-0.2512989870524146,-0.8661768599417599,-0.14864908078714656,-0.0021129381523817548,-0.00023239372835159866,0,0
