run_id,arm,run_tag,sla_violation_count,p99_latency_ms,cost_proxy_pod_seconds,instability_reversals,deviation_std,over_provisioning_timeshare,under_provisioning_timeshare
2026-07-28T13-55-48_baseline_scaleup1_t1,baseline,scaleup1_t1,0,236.9707549987652,1770,0,0.0,0.0,0.0
2026-07-28T14-13-09_baseline_scaleup1_t2,baseline,scaleup1_t2,0,396.73852900159545,1800,0,0.0,0.0,0.0
2026-07-28T14-29-26_baseline_scaleup1_t3,baseline,scaleup1_t3,4,897.270520003076,1800,0,0.0,0.0,0.14814814814814814
2026-07-28T14-45-33_m1_only_scaleup1_t1,m1_only,scaleup1_t1,0,306.6840549981862,900,0,0.0,0.0,0.0
2026-07-28T15-01-53_m1_only_scaleup1_t2,m1_only,scaleup1_t2,4,700.1847899991844,900,0,0.0,0.0,0.14814814814814814
2026-07-28T15-18-00_m1_only_scaleup1_t3,m1_only,scaleup1_t3,4,120.24042300254223,1020,1,0.3552467795046459,0.0,0.14814814814814814
2026-07-28T15-34-07_m3_only_scaleup1_t1,m3_only,scaleup1_t1,0,297.8582069990807,1470,1,0.4566232594791834,0.7037037037037037,0.0
2026-07-28T15-50-26_m3_only_scaleup1_t2,m3_only,scaleup1_t2,0,524.3684669985669,1680,0,0.18885257457751053,0.6666666666666666,0.0
2026-07-28T16-06-34_m3_only_scaleup1_t3,m3_only,scaleup1_t3,0,221.4487889978045,1590,1,0.3552467795046459,0.5555555555555556,0.0
2026-07-28T16-22-41_m2_only_scaleup1_t1,m2_only,scaleup1_t1,0,8278.582949998963,1740,0,0.0,0.0,0.0
2026-07-28T16-40-02_m2_only_scaleup1_t2,m2_only,scaleup1_t2,0,289.82967699994333,1800,0,0.0,0.0,0.0
2026-07-28T16-56-09_m2_only_scaleup1_t3,m2_only,scaleup1_t3,0,100.40454800036969,1800,0,0.0,0.0,0.0
2026-07-28T17-12-16_full_scaleup1_t1,full,scaleup1_t1,0,298.26733200025046,900,0,0.0,0.0,0.0
2026-07-28T17-28-36_full_scaleup1_t2,full,scaleup1_t2,0,361.53891200228827,900,0,0.0,0.0,0.0
2026-07-28T17-44-43_full_scaleup1_t3,full,scaleup1_t3,1,809.1798110035597,900,0,0.0,0.0,0.037037037037037035
2026-07-28T18-13-04_baseline_scaleup2_t1,baseline,scaleup2_t1,0,188.78747599956114,1710,0,0.1855768722395226,0.0,0.0
2026-07-28T18-30-23_baseline_scaleup2_t2,baseline,scaleup2_t2,0,1327.2706790012307,1800,0,0.0,0.11538461538461539,0.0
2026-07-28T18-46-30_m1_only_scaleup2_t1,m1_only,scaleup2_t1,0,205.4626620010822,1020,1,0.3552467795046459,0.0,0.0
2026-07-28T19-02-51_m1_only_scaleup2_t2,m1_only,scaleup2_t2,0,489.5971270016162,1020,1,0.3552467795046459,0.0,0.0
2026-07-28T19-18-59_m3_only_scaleup2_t1,m3_only,scaleup2_t1,0,306.9822059987928,1350,1,0.4969039949999533,0.5185185185185185,0.0
2026-07-28T19-35-19_m3_only_scaleup2_t2,m3_only,scaleup2_t2,0,187.5183529991773,1500,1,0.438228132081453,0.4444444444444444,0.0
2026-07-28T19-51-26_m2_only_scaleup2_t1,m2_only,scaleup2_t1,0,207.1670839941362,1740,0,0.0,0.0,0.0
2026-07-28T20-08-44_m2_only_scaleup2_t2,m2_only,scaleup2_t2,0,254.3216289996053,1800,0,0.0,0.0,0.0
2026-07-28T20-24-51_full_scaleup2_t1,full,scaleup2_t1,0,635.7979730018997,990,1,0.3142696805273545,0.1111111111111111,0.0
2026-07-28T20-41-11_full_scaleup2_t2,full,scaleup2_t2,0,272.4571630024002,900,0,0.0,0.0,0.0
