run_id,arm,run_tag,sla_violation_count,p99_latency_ms,cost_proxy_pod_seconds,instability_reversals,deviation_std,over_provisioning_timeshare,under_provisioning_timeshare
2026-08-06T10-55-52_baseline_v2_t1,baseline,v2_t1,0,5722.8940870008955,2790,0,0.0,0.14814814814814814,0.0
2026-08-06T11-12-10_baseline_v2_t2,baseline,v2_t2,0,8475.697406000108,2700,0,0.0,0.0,0.0
2026-08-06T11-27-56_baseline_v2_t3,baseline,v2_t3,0,7746.8532219991175,2700,0,0.0,0.15384615384615385,0.0
2026-08-06T12-05-30_baseline_v2_t4,baseline,v2_t4,0,7421.293628000001,2790,0,0.0,0.16666666666666666,0.0
2026-08-06T12-21-57_baseline_v2_t5,baseline,v2_t5,0,3845.9351210001387,2700,0,0.0,0.0,0.0
2026-08-06T12-37-53_m1_only_v2_t1,m1_only,v2_t1,0,5141.49525699986,1740,1,0.8284868934053082,0.4230769230769231,0.0
2026-08-06T12-54-01_m1_only_v2_t2,m1_only,v2_t2,0,8947.819468000034,1200,1,0.6249260311258431,0.15384615384615385,0.0
2026-08-06T13-58-32_m1_only_v2_t3,m1_only,v2_t3,4,9501.38916700007,1020,0,0.3552467795046459,0.25925925925925924,0.14814814814814814
2026-08-06T14-14-27_m1_only_v2_t4,m1_only,v2_t4,0,1972.257787000217,1980,2,0.7102378966392072,0.15384615384615385,0.0
2026-08-06T14-30-22_m1_only_v2_t5,m1_only,v2_t5,5,8399.572230000558,930,0,0.0,0.0,0.17857142857142858
2026-08-06T15-05-42_m2_only_v2_t2,m2_only,v2_t2,0,9949.14484400033,2700,0,0.0,0.5217391304347826,0.0
2026-08-06T15-21-47_m2_only_v2_t3,m2_only,v2_t3,2,4396.2077759997555,2700,0,0.0,0.4230769230769231,0.07692307692307693
2026-08-06T15-37-53_m2_only_v2_t4,m2_only,v2_t4,0,496.78141999993386,2700,0,0.0,0.0,0.0
2026-08-06T15-54-09_m2_only_v2_t5,m2_only,v2_t5,0,605.8068080001249,2700,0,0.0,0.14814814814814814,0.0
2026-08-06T16-10-24_m3_only_v2_t1,m3_only,v2_t1,0,6902.923028999794,2310,0,0.6575697371257845,0.8928571428571429,0.0
2026-08-06T16-28-07_m3_only_v2_t2,m3_only,v2_t2,0,3982.1629369998846,2640,0,0.38844772154450063,1.0,0.0
2026-08-06T16-44-54_m3_only_v2_t3,m3_only,v2_t3,0,7659.106549999706,2640,0,0.39411349099844606,1.0,0.0
2026-08-06T17-01-41_m3_only_v2_t4,m3_only,v2_t4,0,6699.010770000314,2340,0,0.7428156890703064,0.6153846153846154,0.0
2026-08-06T17-17-47_m3_only_v2_t5,m3_only,v2_t5,0,7696.527744001287,2430,0,0.6666666666666665,0.8518518518518519,0.0
2026-08-06T17-34-02_full_v2_t1,full,v2_t1,5,7014.117544000328,930,0,0.0,0.0,0.1724137931034483
2026-08-06T17-52-16_full_v2_t2,full,v2_t2,0,1885.1301109989436,1650,3,0.766228180206563,0.7037037037037037,0.0
2026-08-06T18-08-31_full_v2_t3,full,v2_t3,0,3479.9033279996365,900,0,0.0,0.0,0.0
2026-08-06T18-24-47_full_v2_t4,full,v2_t4,0,8826.947489000304,900,0,0.0,0.0,0.0
2026-08-06T18-41-02_full_v2_t5,full,v2_t5,0,107.83917699882295,930,0,0.0,0.0,0.0
2026-08-06T18-58-07_m2_only_v2_t1,m2_only,v2_t1,4,5126.247488002264,2700,0,0.0,0.0,0.15384615384615385
